Title,Author,Description,Category
Little Macquaire,Macquarie ,,English
Holes,Sachar,,English
Best Ever Stories,Sadler,,English
English Essentials BK 1 AC Workbook,Sadler,,English
Coraline,Henery Selick,,Movies
Collins GEM Italian 10ED Dictionary ,,,LOTE
Essential Mathematics for the VC year 8 2 ED,Greenwood,New Edition for 2020,Mathematics
Don’t Fret WKBK 1,Byrne,,Creative Subjects
Scienceworld VC year 7 SB,,,Science Subjects
Thomastown Junior Science practice book,,,Science Subjects
Cambridge VCE Accounting Units 1&2 Print Digital & WKBook 3ED,Simmons,,Accounting
Heinemann Biology 1 5ED SB/EB Combo,,,Science Subjects
KEY Concepts in VCE Business Management Units 1&2 Print & Digital 5TH,Chapman,,Educational Resources
Heinemann Chemestry one 5ED SB/EB,,,Science Subjects
Nelson VCE Computing Units 1%2 6ED,,,Educational Resources
Collins Australian School Dictionary 6ED ,,,English
Like a House on fire ,Kate Kennedy,,English
Montana 1948,Watson,,English
Flowers for Algernon,Keyes,,English
Gattaca,,,English
Im not Scared,Ammaniti,,English
Mao's last dancer,Cunxin,,English
Food Solutions units 1&2 SB 4ED,Heath,,Educational Resources
Australian & global politics VCE unit 1 & 2 ,Melaisis,,Educational Resources
Key Concepts in VCE Health & human development Units 1 & 2 6ED & EBOOK Studyon,Beaumont,,Science Subjects
Twentieth century 1 between the wars,,,History
Twentieth century 2 post war challenges ,,,History
Access & Justice VCE Legal Studies 1 & 2 13ED SB Obook assess ,Filippin,,Legal Studies
Arabic VCE units 1 & 2 to be purchased from Vitorian school of language ,,,LOTE
Foundation mathematics 3ED ,Oconnor,,Mathematics
CSM general maths Units 1 & 2 print and digital ,Jones,,Mathematics
CSM Maths Methods Units 1 & 2 print & digital ,Evans,,Mathematics
Media reframed VCE units 1-4 print & digital ,Mason-Jones,,Creative Subjects
Cambridge VCE Accounting Units 3&4 Print Digital & WKBook 4ED,Simmons,,Accounting
Heinmann Biology 2 SB EB 5ED,,,Science Subjects
A+ Biology Notes VCE Unit 3 4ED,,,Science Subjects
A+ Biology Notes VCE Unit 4 4ED,,,Science Subjects
The Cpap study guide to VCE Business management ,Mitchell,,Educational Resources
Heinemann Chemestry two 5ED SB EB,,,Science Subjects
VCE Chemestry Units 3 & 4 Checkpoints 2020,,,Science Subjects
Data analytics VCE Units 3 & 4 Student book & access code,,,Educational Resources
Collins Australian School Dictionary 6ED ,,,English
Longest memory,Daguiar,,English
The seven stages of grieving,Enoch,,English
Insight comparisons the 7 stages of grieving & The longest memory,,Recommended,English
Rear window insight text guide ,,Recommended,English
After Darkness,Piper,,English
Never let me go,Ishiguro,,English
Stasiland stories from behind the Berlin wall,Funder,,English
Food solutions Units 3 & 4 ED ,Heath,,Educational Resources
Global politics for the VCE,Bacalja,,Educational Resources
Global politics for the VCE workbook,Bacalja,,Educational Resources
Key concepts VCE health & human development 3 & 4 6E print + Studyon,Beaumont,,Educational Resources
Towards an enterprising Australia Units 3 & 4 4ED,,,Educational Resources
Justice & outcomes unit 3 & 4 14ED SB Obook Assess,Filippin,,Legal Studies
CSM Maths Methods Units 3 & 4 print & digital ,Evans,,Mathematics
VCE Mathematical Methods Units 3 & 4 Checkpoints 2020,,,Mathematics
CSM Further Maths Units 3 & 4 print & digital ,Jones,,Mathematics
VCE Further Mathematics Units 3 & 4 Checkpoints 2020,,,Mathematics
Heinemann meda 3ED VCE units 1-4 SB & EB ,Dunscombe,,Creative Subjects
Live it up 2 Units 3 & 4 4ED Ebook & Print & Study on value pack ,O'Keeffe,,Educational Resources
Heinemann Physics 12 4ED SB EB,,,Science Subjects
VCE Physics Units 3&4 Checkpoints 2020,,,Science Subjects
Psychology VCE Units 3&4 Ebooplus & studyon 7ED ,Grivas,,Science Subjects
VCE Psychology Units 3&4 Chekcpoints 2020,,,Science Subjects
Artisan 2ED Studio Arts for VCE Units 1-4 ,Bowden ,,Creative Subjects
Nelson Visual Communications and designs VCE Units 1-4 STUD 4ED ,Huthrie,,Creative Subjects
Live it up 2 Units 1 & 2 4ED Ebook & Print & Study on value pack ,O'Keeffe,,Educational Resources
Heinmann Physics 11 4ED SB EB,,,Science Subjects
Psychology VCE Units 1&2 8ED EBOOK & print ,Grivas,,Science Subjects
VISCOMM a guide to visual communication design Units 1-4 2ED ,Patterson,,Creative Subjects
